corrdor_margin_perc,min_margin_perc,max_margin_perc,rpm,Count_Corridor,OriginCluster,corridor
-9.909550159,-50.74211503,48.63013699,2.358118024,82,Houston Region,Houston Region-Jackson AL Region
-26.63539974,-63.1612492,31.62162162,2.075882626,81,Laredo Region,Laredo Region-Chicago Region
-0.35271621,-63.62969944,53.00523782,3.513248718,81,Saint Louis Region,Saint Louis Region-Kansas City Region
12.3384592,-40.24920262,64.91935006,2.77466447,80,Tracy Region,Tracy Region-Fresno CA Region
10.2486664,-17.03110564,51.61569915,1.71983287,80,York PA Region,York PA Region-Charlotte NC Region
16.96225931,-23.9789965,47.8250079,3.592024195,80,Chicago Region,Chicago Region-Grand Rapids Region
12.0806701,-53.99303951,60.00919788,2.000911856,80,Dallas Region,Dallas Region-Memphis Region
16.19655614,-10.16810837,44.03050338,3.038967834,79,Chicago Region,Chicago Region-Baltimore Region
11.46328704,-50.24912274,64.02424161,4.469906143,78,York PA Region,York PA Region-Newark Region
10.51397143,-49.38954002,58.73702279,4.859420711,78,Newark Region,Newark Region-Philadelphia Region
12.88357422,-38.68663754,40.0921659,2.241741075,76,Omaha Region,Omaha Region-Chicago Region
28.02226811,3.614457831,53.08475601,1.565321734,76,York PA Region,York PA Region-Atlanta Region
0.3130625,-38.57132959,40.92092463,3.073439171,76,Cincinnati Region,Cincinnati Region-Philadelphia Region
18.27472831,-3.868765277,56.97248264,3.280809344,76,Columbus OH Region,Columbus OH Region-Baltimore Region
10.86902589,-40,52.00464327,4.5616441,75,Columbus OH Region,Columbus OH Region-Pittsburgh Region
9.523700299,-41.02988607,50.16091954,2.03554031,75,Houston Region,Houston Region-Atlanta Region
-1.864548527,-64.26982065,63.13364055,3.248142739,75,Springfield MO Region,Springfield MO Region-Kansas City Region
2.481629243,-24.21743019,39.27912173,2.901003263,75,West OH Region,West OH Region-Elizabeth Region
8.26732237,-43.50290593,62.31801819,4.081414315,74,Tracy Region,Tracy Region-Reno Region
23.24602009,8.119312585,64.38482886,1.140518145,74,Portland OR Region,Portland OR Region-Ontario CA Region
21.85999086,-38.43065778,48.45332558,2.727493264,74,South MN Region,South MN Region-Chicago Region
-9.252069689,-58.90213073,42.0747762,2.259042903,73,West OH Region,West OH Region-Nashville Region
17.15249654,-24.69691722,61.48825793,2.999602989,73,West SC Region,West SC Region-Atlanta Region
-13.31119124,-51.03634167,40,2.807755293,73,Houston Region,Houston Region-Abilene TX Region
-11.39853741,-61.53639056,33.33333333,1.783913661,73,Houston Region,Houston Region-Chicago Region
19.15967089,-24.50974289,55.79630939,1.626769276,73,Elizabeth Region,Elizabeth Region-Columbus OH Region
40.37223389,7.156746864,63.08644097,1.389545334,73,Elizabeth Region,Elizabeth Region-Tampa Region
18.44149242,-21.42781448,48.28973578,2.400795731,73,Memphis Region,Memphis Region-Houston Region
6.230839909,-28.79590143,33.21311694,2.950313463,73,Chicago Region,Chicago Region-Elizabeth Region
31.46206114,7.820508093,59.82662794,1.924060242,72,Chicago Region,Chicago Region-Tampa Region
14.03031039,-40.25026881,57.72357724,4.440128765,72,Baltimore Region,Baltimore Region-Elizabeth Region
31.32859071,3.067377272,49.32805161,1.925307574,72,Milwaukee Region,Milwaukee Region-Tampa Region
-1.021657152,-61.73705598,50.47619048,2.298839573,72,Miami Region,Miami Region-Tampa Region
0.955105003,-62.0855001,45.75522161,2.677693008,72,Laredo Region,Laredo Region-Houston Region
19.48721601,-13.97557666,56.27337361,2.992592561,72,Green Bay Region,Green Bay Region-Chicago Region
16.70834251,-27.28838306,61.96816357,3.227308983,72,York PA Region,York PA Region-Boston Region
23.4676078,-7.692307692,61.97847137,1.870531433,72,San Antonio Region,San Antonio Region-Laredo Region
15.33536852,-60,60.08837574,5.637356626,72,Orlando Region,Orlando Region-Orlando Region
33.00189839,10.39426523,60.59556982,2.262733151,72,Owasso OK Region,Owasso OK Region-San Antonio Region
19.01101861,-64.3295355,63.96848445,2.521016002,71,Saint Louis Region,Saint Louis Region-Memphis Region
22.3692151,-37.89609951,60,1.470233521,71,Reno Region,Reno Region-Ontario CA Region
16.64845295,-38.54479072,48.79149963,3.733753189,71,Hazleton PA Region,Hazleton PA Region-RI Region
-13.86456225,-61.89962223,43.90216538,4.12418455,71,Laredo Region,Laredo Region-San Antonio Region
12.98824667,-53.42129488,61.76470588,3.115245205,71,Longview TX Region,Longview TX Region-Houston Region
2.196548597,-44.59224986,41.23076923,2.161103462,71,Laredo Region,Laredo Region-Atlanta Region
5.751317979,-63.0539037,62.8715294,3.535129681,71,Atlanta Region,Atlanta Region-South East AL Region
15.28173408,-23.33333333,52.77777778,3.171863861,71,Chicago Region,Chicago Region-Pittsburgh Region
8.47631943,-36.16557734,47.38199989,3.286292753,71,Dallas Region,Dallas Region-Abilene TX Region
7.020048915,-41.73897979,62.04545097,3.983985704,71,Columbus OH Region,Columbus OH Region-Indianapolis Region
25.71737269,3.121052183,55.62458398,1.917385591,70,Milwaukee Region,Milwaukee Region-Dallas Region
10.70630451,-49.89293362,51.83783784,2.729168413,70,Memphis Region,Memphis Region-Atlanta Region
17.75791855,-22.94981189,46.8784446,3.713505782,70,Elizabeth Region,Elizabeth Region-Boston Region
24.08316527,-18.72146119,54.58673933,1.302552031,70,Salt Lake City Region,Salt Lake City Region-Ontario CA Region
15.6070863,-59.40598132,61.28888889,2.184472033,70,Phoenix Region,Phoenix Region-Tracy Region
26.22120906,-47.56882374,56.5921261,1.653850047,69,Salt Lake City Region,Salt Lake City Region-Phoenix Region
5.581801902,-44.40780765,58.58318477,2.984804593,69,Seattle Region,Seattle Region-Portland OR Region
18.9763069,-46.82670778,62.33412528,3.157522039,69,Longview TX Region,Longview TX Region-Dallas Region
12.51392857,-37.71198856,55.49268983,2.69166567,69,Charlotte NC Region,Charlotte NC Region-Atlanta Region
16.13081041,-35.15173854,58.85402584,2.135503826,68,Atlanta Region,Atlanta Region-Dallas Region
39.89298498,18.18181818,57.89473684,2.013249143,68,Jackson AL Region,Jackson AL Region-Laredo Region
16.78481833,-33.19368178,50.27153348,2.492851815,68,Nashville Region,Nashville Region-Dallas Region
24.66098893,-3.571745628,61.67726929,1.036854115,67,Seattle Region,Seattle Region-Ontario CA Region
16.34423704,-41.52812636,58.48046789,2.253383586,67,San Antonio Region,San Antonio Region-Dallas Region
7.852111027,-39.29886239,48.72419385,2.22308577,67,Springfield MO Region,Springfield MO Region-Atlanta Region
-10.8115565,-61.8383173,54.83870968,4.694206353,67,Laredo Region,Laredo Region-Laredo Region
15.04860061,-25,61.72117942,11.08940458,67,Elizabeth Region,Elizabeth Region-Newark Region
20.24760997,-25,45.03256474,3.271075682,67,Columbus OH Region,Columbus OH Region-Hazleton PA Region
16.34733264,-55.21276088,64.87838891,3.274279527,66,Atlanta Region,Atlanta Region-SC Region
15.05703751,-64.9257834,64.43812233,4.096305658,66,Atlanta Region,Atlanta Region-West SC Region
-11.52244294,-49.46506674,28.10473116,3.342310647,66,Augusta GA Region,Augusta GA Region-Winchester VA Region
-6.423091234,-61.84251478,44.53231838,2.195580408,65,Orlando Region,Orlando Region-Jackson AL Region
-1.829395643,-50.02850542,42.85714286,5.291990235,64,Newark Region,Newark Region-Hartford CT Region
12.95128804,-61.51098275,56.36363636,5.500527584,64,Newark Region,Newark Region-Hazleton PA Region
15.01738309,-38.45429624,54.33789954,2.71317006,64,Omaha Region,Omaha Region-Kansas City Region
3.252802045,-58.99315493,61.60152365,1.688814344,64,Dallas Region,Dallas Region-El Paso Region
18.06738117,-19.09997068,56.36013216,1.521017414,64,Elizabeth Region,Elizabeth Region-Chicago Region
23.70370685,-15.6,57.58212648,1.507324174,64,Elizabeth Region,Elizabeth Region-Atlanta Region
12.00483147,-1.886792453,24.52830189,1.813311038,64,Grand Rapids Region,Grand Rapids Region-Waco TX Region
10.4757638,-48.54426619,42.61404502,1.897109643,63,Lubbock Region,Lubbock Region-Dallas Region
25.38865488,-35.59349475,62.88722225,2.03356967,63,Columbus OH Region,Columbus OH Region-Atlanta Region
19.6222908,-15.68825255,54.86371877,2.870448175,63,Chicago Region,Chicago Region-Philadelphia Region
17.52351776,-14.08357756,36.93111794,1.991938967,63,Atlanta Region,Atlanta Region-San Antonio Region
19.25550312,-20.14898474,54.86619048,1.665482551,63,Philadelphia Region,Philadelphia Region-Cincinnati Region
20.51638712,3.225806452,49.81074943,1.277625242,63,Portland OR Region,Portland OR Region-Tracy Region
4.407980476,-41.24907645,42.10526316,2.059532108,62,North AR Region,North AR Region-Chicago Region
12.77151259,-9.827833888,44.15262064,1.530906598,62,York PA Region,York PA Region-Dallas Region
3.780468502,-59.58236429,53.73628774,1.865749721,62,Dallas Region,Dallas Region-Chicago Region
10.79702591,-58.97935256,54.88874715,2.877449652,61,Chicago Region,Chicago Region-Green Bay Region
18.60675612,-1.309445409,46.37884875,2.24907951,61,Louisville KY Region,Louisville KY Region-Dallas Region
17.98864885,-60.22388618,54.24073947,2.631106596,61,Louisville KY Region,Louisville KY Region-Detroit Region
14.87407223,-13.85026413,50.5,1.961514747,61,Hazleton PA Region,Hazleton PA Region-Cleveland Region
17.88146786,-31.20461634,55.90728613,2.76701345,61,Saint Louis Region,Saint Louis Region-Dallas Region
-1.074215592,-59.11180256,54.11111111,3.345727244,60,Richmond VA Region,Richmond VA Region-Newark Region
13.08700475,-17.72260274,57.31633657,3.392809565,60,Hazleton PA Region,Hazleton PA Region-NH Region
27.72739703,-21.21212121,63.14157768,5.990855696,60,Hazleton PA Region,Hazleton PA Region-Philadelphia Region
3.661647996,-50.93200513,38.85068056,1.715343953,60,El Paso Region,El Paso Region-Dallas Region
22.48637035,-11.9253129,49.69619147,2.129658808,60,Milwaukee Region,Milwaukee Region-Atlanta Region
12.49649027,-15.38339116,57.16794422,3.150218024,60,Cincinnati Region,Cincinnati Region-Newark Region
16.76878831,-20.67815149,41.33333333,2.523666262,59,Chattanooga Region,Chattanooga Region-Orlando Region
15.07702614,-49.04018123,64.30578789,3.241303701,59,Dallas Region,Dallas Region-Owasso OK Region
16.07533043,-26.81705055,51.75271659,3.105136754,59,Cleveland Region,Cleveland Region-VA Region
5.832729458,-42.85714286,38.46153846,2.704685478,59,Birmingham Region,Birmingham Region-Atlanta Region
11.3346827,-45.25383107,48.12836501,3.252045204,59,Richmond VA Region,Richmond VA Region-Philadelphia Region
11.59137682,-28.77227003,62.39236435,5.39824119,59,Philadelphia Region,Philadelphia Region-Hazleton PA Region
21.72627756,-26.9035533,57.98773242,5.288012197,59,Philadelphia Region,Philadelphia Region-Baltimore Region
15.85233443,0,34.14634146,1.58012623,59,Syracuse NY Region,Syracuse NY Region-Houston Region
-4.311527886,-23.28753612,47.33855486,3.173584352,58,Winchester VA Region,Winchester VA Region-Albany NY Region
-14.10223436,-62.3667531,31.66287016,2.422776142,58,South GA Region,South GA Region-Birmingham Region
9.256955952,-35.63306734,60.34499851,3.312172217,58,Milwaukee Region,Milwaukee Region-Cedar Rapids Region
-25.7613847,-57.25880431,22.22222222,3.19902959,58,Laredo Region,Laredo Region-Abilene TX Region
17.77323322,-31.48772383,52.38315381,3.695742155,58,Hazleton PA Region,Hazleton PA Region-Syracuse NY Region
22.71283124,-23.66219984,63.61264579,1.615987166,58,Hazleton PA Region,Hazleton PA Region-Charlotte NC Region
5.51399811,-48.63258026,55.42879883,2.924579404,58,Houston Region,Houston Region-Waco TX Region
-2.459157058,-29.65743142,56.52173913,3.593635515,57,Howard PA Region,Howard PA Region-Pittsburgh Region
23.36232585,-0.769881898,61.72137803,1.871429816,57,Elizabeth Region,Elizabeth Region-Cleveland Region
17.40126627,-35.41666667,55.72821552,3.305154914,57,Central GA Region,Central GA Region-Atlanta Region
16.34719942,-32.69198872,59.33253118,1.826488345,57,Columbus OH Region,Columbus OH Region-Saint Louis Region
11.56135795,-34.53081219,43.82402975,3.209841774,57,Chicago Region,Chicago Region-York PA Region
4.89812928,-54.05307721,34.70139636,2.518675362,57,Owasso OK Region,Owasso OK Region-Columbus OH Region
12.77456189,-25,50.54064974,1.640284456,57,Ontario CA Region,Ontario CA Region-Laredo Region
16.85469068,-19.47650908,60.92951685,3.508101834,57,Newark Region,Newark Region-York PA Region
17.73334579,-20,57.78636456,3.496880129,56,Philadelphia Region,Philadelphia Region-RI Region
14.95659386,-11.53584864,49.50277061,2.539221158,56,Seattle Region,Seattle Region-Spokane Region
8.37564685,-41.6428357,49.50370288,2.800973229,56,Saint Louis Region,Saint Louis Region-Minneapolis Region
15.31336476,-6.694233295,34.79796854,1.882169721,56,Salt Lake City Region,Salt Lake City Region-Atlanta Region
12.8729218,-16.83266641,37.48325444,2.341793631,56,West SC Region,West SC Region-Tampa Region
19.93331084,-17.31581417,64.71225067,3.530001243,56,Chicago Region,Chicago Region-West OH Region
14.88769793,-6.700810926,51.60516641,2.157292403,56,Central KS Region,Central KS Region-Dallas Region
